"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4436","Вход через кнопку в форме восстановления пароля","","Wed Jul 09 22:11:12 MSK 2025","passed","Wed Jul 09 22:11:17 MSK 2025","","Аутентификация (вход и выход)","xxx.tests.AuthTest","loginFromForgotPasswordPageTest"
"","5019","Переход из личного кабинета в конструктор по клику на лого","","Wed Jul 09 22:11:32 MSK 2025","passed","Wed Jul 09 22:11:37 MSK 2025","","Навигация по приложению","xxx.tests.NavigationTest","navigateFromProfileToConstructorByLogoTest"
"","4912","Переход в личный кабинет","","Wed Jul 09 22:11:37 MSK 2025","passed","Wed Jul 09 22:11:42 MSK 2025","","Навигация по приложению","xxx.tests.NavigationTest","navigateToPersonalAccountTest"
"","3474","Переход к разделу 'Начинки'","","Wed Jul 09 22:11:23 MSK 2025","passed","Wed Jul 09 22:11:27 MSK 2025","","Раздел 'Конструктор'","xxx.tests.ConstructorTest","switchToFillingsSectionTest"
"","3398","Переход к разделу 'Булки'","","Wed Jul 09 22:11:17 MSK 2025","passed","Wed Jul 09 22:11:20 MSK 2025","","Раздел 'Конструктор'","xxx.tests.ConstructorTest","switchToBunsSectionTest"
"","4370","Вход через кнопку в форме регистрации","","Wed Jul 09 22:11:03 MSK 2025","passed","Wed Jul 09 22:11:07 MSK 2025","","Аутентификация (вход и выход)","xxx.tests.AuthTest","loginFromRegisterPageTest"
"","4895","Вход через кнопку 'Личный кабинет'","","Wed Jul 09 22:11:07 MSK 2025","passed","Wed Jul 09 22:11:12 MSK 2025","","Аутентификация (вход и выход)","xxx.tests.AuthTest","loginFromPersonalAccountButtonTest"
"","4962","Переход из личного кабинета в конструктор по клику на 'Конструктор'","","Wed Jul 09 22:11:27 MSK 2025","passed","Wed Jul 09 22:11:32 MSK 2025","","Навигация по приложению","xxx.tests.NavigationTest","navigateFromProfileToConstructorTest"
"Проверяем, что при вводе пароля короче 6 символов появляется ошибка","3067","Регистрация с некорректным паролем","","Wed Jul 09 22:11:45 MSK 2025","passed","Wed Jul 09 22:11:48 MSK 2025","","Регистрация","xxx.tests.RegistrationTest","registrationWithIncorrectPasswordTest"
"","3258","Переход к разделу 'Соусы'","","Wed Jul 09 22:11:20 MSK 2025","passed","Wed Jul 09 22:11:23 MSK 2025","","Раздел 'Конструктор'","xxx.tests.ConstructorTest","switchToSaucesSectionTest"
"Проверяем, что пользователь может успешно зарегистрироваться с валидными данными","3557","Успешная регистрация пользователя","","Wed Jul 09 22:11:42 MSK 2025","passed","Wed Jul 09 22:11:45 MSK 2025","","Регистрация","xxx.tests.RegistrationTest","successfulRegistrationTest"
"","7204","Вход по кнопке 'Войти в аккаунт' на главной","","Wed Jul 09 22:10:50 MSK 2025","passed","Wed Jul 09 22:10:57 MSK 2025","","Аутентификация (вход и выход)","xxx.tests.AuthTest","loginFromMainPageLoginButtonTest"
"","5532","Выход из аккаунта","","Wed Jul 09 22:10:57 MSK 2025","passed","Wed Jul 09 22:11:03 MSK 2025","","Аутентификация (вход и выход)","xxx.tests.AuthTest","logoutTest"
